"State","Year","Overweight Adults (%)"
"HI",2012,26.2
"OK",2019,26.2
"ME",2019,26.2
"GA",2013,26.2
"LA",2013,26.2
"TN",2012,26.2
"CA",2011,26.2
"NJ",2016,26.2
"MI",2016,26.2
"GA",2021,26.2
"UT",2021,26.2
"HI",2022,26.2
"KS",2022,26.2
"MI",2018,26.3
"NE",2018,26.3
"NC",2020,26.3
"MI",2020,26.3
"RI",2020,26.3
"OK",2015,26.3
"GA",2012,26.3
"NE",2015,26.3
"WV",2017,26.3
"AK",2015,26.3
"ME",2019,26.3
"IL",2012,26.3
"DE",2014,26.3
"MI",2012,26.3
"KY",2014,26.3
"IL",2015,26.3
"AL",2014,26.3
"KS",2011,26.3
"IN",2011,26.3
"OK",2011,26.3
"TN",2016,26.3
"WI",2021,26.3
"NE",2021,26.3
"UT",2021,26.3
"OH",2021,26.3
"OK",2021,26.3
"LA",2021,26.3
"VA",2022,26.3
"NV",2018,26.4
"GA",2018,26.4
"VA",2020,26.4
"KS",2014,26.4
"NE",2012,26.4
"NJ",2013,26.4
"IL",2014,26.4
"WA",2014,26.4
"HI",2019,26.4
"OK",2012,26.4
"KS",2015,26.4
"NV",2012,26.4
"HI",2015,26.4
"WV",2012,26.4
"UT",2014,26.4
"WA",2013,26.4
"VA",2014,26.4
"AL",2012,26.4
"OR",2014,26.4
"NH",2016,26.4
"IA",2016,26.4
"AR",2021,26.4
"OK",2021,26.4
"KY",2021,26.4
"FL",2022,26.4
"HI",2022,26.4
"MO",2022,26.4
"SD",2018,26.5
"WI",2016,26.5
"WI",2018,26.5
"MS",2018,26.5
"OR",2017,26.5
"AK",2017,26.5
"WI",2013,26.5
"UT",2012,26.5
"LA",2014,26.5
"NJ",2011,26.5
"CO",2014,26.5
"WA",2013,26.5
"VT",2016,26.5
"NV",2016,26.5
"HI",2016,26.5
"MO",2021,26.5
"AL",2021,26.5
"GA",2022,26.5
"IL",2022,26.5
"MI",2022,26.5
"WY",2022,26.5
"NJ",2018,26.6
"KY",2018,26.6
"NH",2018,26.6
"AL",2018,26.6
"AZ",2018,26.6
"MD",2018,26.6
"MO",2020,26.6
"OR",2020,26.6
"AK",2017,26.6
"GA",2012,26.6
"NY",2011,26.6
"UT",2012,26.6
"MO",2011,26.6
"TN",2014,26.6
"OK",2014,26.6
"IA",2012,26.6
"ME",2013,26.6
"NE",2014,26.6
"ID",2016,26.6
"OH",2016,26.6
"PA",2021,26.6
"KY",2022,26.6
"MO",2022,26.6
"MS",2022,26.6
"HI",2018,26.7
"VA",2018,26.7
"SC",2017,26.7
"GA",2017,26.7
"ID",2012,26.7
"WV",2014,26.7
"HI",2013,26.7
"AZ",2011,26.7
"AR",2012,26.7
"NV",2019,26.7
"SC",2019,26.7
"NY",2014,26.7
"KY",2013,26.7
"LA",2012,26.7
"MI",2013,26.7
"CO",2011,26.7
"PA",2014,26.7
"PA",2016,26.7
